epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.0005,2.3021400569598556,10.283333333333333,2.301506495475769,11.35
2,0.0005,2.301446657953486,11.236666666666666,2.3011399030685427,11.35
3,0.0002,2.301231918558637,11.236666666666666,2.3010552167892455,11.35
4,0.0002,2.301158888761931,11.236666666666666,2.300990271568298,11.35
5,0.0002,2.3011064491292306,11.236666666666666,2.300937533378601,11.35
6,0.0001,2.3010600983206904,11.236666666666666,2.300913190841675,11.35
7,0.0001,2.3010397264952345,11.236666666666666,2.3008902311325072,11.35
8,0.0001,2.3010073231735717,11.236666666666666,2.30086772441864,11.35
9,5e-05,2.3010062759619023,11.236666666666666,2.3008570432662965,11.35
10,5e-05,2.3009919596633424,11.236666666666666,2.300846481323242,11.35
11,5e-05,2.300970410995646,11.236666666666666,2.3008355140686034,11.35
12,5e-05,2.30096745999383,11.236666666666666,2.3008251428604125,11.35
13,1e-05,2.3009486295012778,11.236666666666666,2.3008230924606323,11.35
14,1e-05,2.30094788476094,11.236666666666666,2.30082106590271,11.35
15,1e-05,2.300949896576562,11.236666666666666,2.300818920135498,11.35
16,1e-05,2.300939136476659,11.236666666666666,2.3008169412612913,11.35
17,1e-05,2.300944166905336,11.236666666666666,2.3008148670196533,11.35
18,1e-05,2.300935799379084,11.236666666666666,2.3008127450942992,11.35
19,1e-05,2.3009417087538666,11.236666666666666,2.300810527801514,11.35
20,1e-05,2.3009463457156345,11.236666666666666,2.300808572769165,11.35
