epoch,train_loss,test_loss,test_accuracy
1,0.6253387489552691,0.2253636121749878,93.35
2,0.17189318501650652,0.12888183854520321,96.11
3,0.10449523063722069,0.08392879478633404,97.56
4,0.07753886611385545,0.07016509268432855,97.97
5,0.06098076190724016,0.06587254721671343,97.97
6,0.052152051715486085,0.05826879404485226,98.16
7,0.04522991233638355,0.04999489886686206,98.38
8,0.03925607073654943,0.04547207374125719,98.54
9,0.03394605118934232,0.048926943354308604,98.38
10,0.030468443128615935,0.046502611320465806,98.45
