epoch,train_loss,test_loss,test_accuracy
1,0.381334940575238,0.11993629150092602,96.53
2,0.09614911330526253,0.0650518499314785,97.87
3,0.06490184892582566,0.057412981241941455,98.08
4,0.04973318046261705,0.055221087951213124,98.19
5,0.041372523973954085,0.03741240752860904,98.7
6,0.03460961549670926,0.037525861710309985,98.71
7,0.029587230843572277,0.03630372597835958,98.79
8,0.026954680618366846,0.033752165734767914,98.93
9,0.023818853809139572,0.030306629044935106,99.01
10,0.01997786012029763,0.02977466662414372,98.94
